"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe NA, PAL• Narnia Koku Monogatari: Lion to Majo JP• Le Monde de Narnia Chapitre 1: Le Lion, la Sorcière Blanche et l'Armoire Magique FR• Die Chroniken von Narnia: Der König von Narnia DE• Las Crónicas de Narnia: El León, la Bruja y El Ropero ES• Le Cronache Di Narnia: Il Leone, La Strega e L'armadio IT",N/A,2005,Amaze Entertainment,Buena Vista Games,"NA, JP, PAL"
ChuChu Rocket!,Yes (SPM),2001,Sonic Team,Sega,"NA, JP, PAL"
CIMA: The Enemy NA• Frontier Stories JP,N/A,2003 (NA)2005 (JP),Neverland,Natsume NAMarvelous Entertainment JP,"NA, JP"
Cinnamon: Yume no Daibouken,N/A,2004,,Imagineer,JP
Cinnamoroll FuwaFuwa Daibouken,N/A,2005,,Rocket Company,JP
Cinnamoroll Koko ni Ruyo,N/A,2003,AI,Imagineer,JP
"Classic NES Series: Bomberman NA, PAL• Famicom Mini: Bomberman JP",N/A,2004,Hudson Soft,Nintendo,"NA, JP, PAL"
"Classic NES Series: Castlevania NA, PAL• Famicom Mini: Akumajou Dracula JP",N/A,2004,Konami,Nintendo,"NA, JP, PAL"
"Classic NES Series: Donkey Kong NA, PAL• Famicom Mini: Donkey Kong JP",N/A,2004,Nintendo,Nintendo,"NA, JP, PAL"
"Classic NES Series: Dr. Mario NA, PAL• Famicom Mini: Dr. Mario JP",N/A,2004,Nintendo,Nintendo,"NA, JP, PAL"
"Classic NES Series: Excitebike NA, PAL• Famicom Mini: Excitebike JP",N/A,2004,Nintendo,Nintendo,"NA, JP, PAL"
"Classic NES Series: Ice Climber NA, PAL• Famicom Mini: Ice Climber JP",N/A,2004,Nintendo,Nintendo,"NA, JP, PAL"
"Classic NES Series: The Legend of Zelda NA, PAL• Famicom Mini: Zelda no Densetsu JP",N/A,2004,Nintendo,Nintendo,"NA, JP, PAL"
"Classic NES Series: Metroid NA, PAL• Famicom Mini: Metroid JP",N/A,2004,Nintendo,Nintendo,"NA, JP, PAL"
"Classic NES Series: Pac-Man NA, PAL• Famicom Mini: Pac-Man JP",N/A,2004,Namco,Nintendo,"NA, JP, PAL"
